index,player,kills,deaths,kd,hill_time,team_name,team_score,map_outcome,matchID,map_winner,mode,gametime,match_winner,first_kill,first_death,plant,defuse,captures
0,Scrappy,28,24,1.17,64,Toronto Ultra,250,winner,TULRRW1M2, Mercado,Hardpoint,10:36,Toronto Ultra,,,,,
1,Insight,28,20,1.40,45,Toronto Ultra,250,winner,TULRRW1M2, Mercado,Hardpoint,10:36,Toronto Ultra,,,,,
2,CleanX,22,29,0.76,67,Toronto Ultra,250,winner,TULRRW1M2, Mercado,Hardpoint,10:36,Toronto Ultra,,,,,
3,Standy,25,18,1.39,111,Toronto Ultra,250,winner,TULRRW1M2, Mercado,Hardpoint,10:36,Toronto Ultra,,,,,
4,Zer0,22,24,0.92,47,London Royal Ravens,166,loser,TULRRW1M2, Mercado,Hardpoint,10:36,Toronto Ultra,,,,,
5,Nastie,20,26,0.77,19,London Royal Ravens,166,loser,TULRRW1M2, Mercado,Hardpoint,10:36,Toronto Ultra,,,,,
6,Asim,30,29,1.03,1,London Royal Ravens,166,loser,TULRRW1M2, Mercado,Hardpoint,10:36,Toronto Ultra,,,,,
7,Skrapz,19,24,0.79,104,London Royal Ravens,166,loser,TULRRW1M2, Mercado,Hardpoint,10:36,Toronto Ultra,,,,,
0,Scrappy,10,7,1.43,,Toronto Ultra,6,winner,TULRRW1M2, Embassy,SearchandDestroy,10:19,Toronto Ultra,0,0,0,1,
1,Insight,6,8,0.75,,Toronto Ultra,6,winner,TULRRW1M2, Embassy,SearchandDestroy,10:19,Toronto Ultra,1,0,1,0,
2,CleanX,3,8,0.38,,Toronto Ultra,6,winner,TULRRW1M2, Embassy,SearchandDestroy,10:19,Toronto Ultra,1,3,4,0,
3,Standy,7,7,1.00,,Toronto Ultra,6,winner,TULRRW1M2, Embassy,SearchandDestroy,10:19,Toronto Ultra,2,3,0,0,
4,Zer0,6,7,0.86,,London Royal Ravens,4,loser,TULRRW1M2, Embassy,SearchandDestroy,10:19,Toronto Ultra,2,1,2,0,
5,Nastie,4,6,0.67,,London Royal Ravens,4,loser,TULRRW1M2, Embassy,SearchandDestroy,10:19,Toronto Ultra,1,0,0,0,
6,Asim,17,6,2.83,,London Royal Ravens,4,loser,TULRRW1M2, Embassy,SearchandDestroy,10:19,Toronto Ultra,2,2,1,1,
7,Skrapz,3,7,0.43,,London Royal Ravens,4,loser,TULRRW1M2, Embassy,SearchandDestroy,10:19,Toronto Ultra,1,1,1,0,
0,Scrappy,34,21,1.62,,Toronto Ultra,3,winner,TULRRW1M2, Hotel,Control,16:02,Toronto Ultra,,,,,3
1,Insight,22,24,0.92,,Toronto Ultra,3,winner,TULRRW1M2, Hotel,Control,16:02,Toronto Ultra,,,,,8
2,CleanX,26,26,1.00,,Toronto Ultra,3,winner,TULRRW1M2, Hotel,Control,16:02,Toronto Ultra,,,,,2
3,Standy,35,24,1.46,,Toronto Ultra,3,winner,TULRRW1M2, Hotel,Control,16:02,Toronto Ultra,,,,,2
4,Zer0,20,29,0.69,,London Royal Ravens,2,loser,TULRRW1M2, Hotel,Control,16:02,Toronto Ultra,,,,,2
5,Nastie,29,37,0.78,,London Royal Ravens,2,loser,TULRRW1M2, Hotel,Control,16:02,Toronto Ultra,,,,,6
6,Asim,22,32,0.69,,London Royal Ravens,2,loser,TULRRW1M2, Hotel,Control,16:02,Toronto Ultra,,,,,6
7,Skrapz,24,19,1.26,,London Royal Ravens,2,loser,TULRRW1M2, Hotel,Control,16:02,Toronto Ultra,,,,,6
0,Vivid,26,20,1.30,99,Boston Breach,250,winner,BBMRW1M2, Fortress,Hardpoint,9:48,Boston Breach,,,,,
1,Methodz,21,18,1.17,93,Boston Breach,250,winner,BBMRW1M2, Fortress,Hardpoint,9:48,Boston Breach,,,,,
2,Owakening,29,17,1.71,32,Boston Breach,250,winner,BBMRW1M2, Fortress,Hardpoint,9:48,Boston Breach,,,,,
3,Nero,21,24,0.88,36,Boston Breach,250,winner,BBMRW1M2, Fortress,Hardpoint,9:48,Boston Breach,,,,,
4,Attach,20,21,0.95,52,Minnesota RØKKR,144,loser,BBMRW1M2, Fortress,Hardpoint,9:48,Boston Breach,,,,,
5,Afro,13,25,0.52,78,Minnesota RØKKR,144,loser,BBMRW1M2, Fortress,Hardpoint,9:48,Boston Breach,,,,,
6,Bance,26,21,1.24,23,Minnesota RØKKR,144,loser,BBMRW1M2, Fortress,Hardpoint,9:48,Boston Breach,,,,,
7,Cammy,20,30,0.67,10,Minnesota RØKKR,144,loser,BBMRW1M2, Fortress,Hardpoint,9:48,Boston Breach,,,,,
0,Vivid,9,5,1.80,,Boston Breach,6,winner,BBMRW1M2, El Asilo,SearchandDestroy,10:54,Boston Breach,3,2,0,0,
1,Methodz,7,7,1.00,,Boston Breach,6,winner,BBMRW1M2, El Asilo,SearchandDestroy,10:54,Boston Breach,1,1,0,0,
2,Owakening,8,4,2.00,,Boston Breach,6,winner,BBMRW1M2, El Asilo,SearchandDestroy,10:54,Boston Breach,0,1,0,1,
3,Nero,3,6,0.50,,Boston Breach,6,winner,BBMRW1M2, El Asilo,SearchandDestroy,10:54,Boston Breach,0,1,3,0,
4,Attach,9,6,1.50,,Minnesota RØKKR,3,loser,BBMRW1M2, El Asilo,SearchandDestroy,10:54,Boston Breach,1,1,0,0,
5,Afro,5,4,1.25,,Minnesota RØKKR,3,loser,BBMRW1M2, El Asilo,SearchandDestroy,10:54,Boston Breach,1,0,2,0,
6,Bance,3,7,0.43,,Minnesota RØKKR,3,loser,BBMRW1M2, El Asilo,SearchandDestroy,10:54,Boston Breach,2,1,0,2,
7,Cammy,5,8,0.63,,Minnesota RØKKR,3,loser,BBMRW1M2, El Asilo,SearchandDestroy,10:54,Boston Breach,1,2,0,0,
