team1,team2,team1_score,team2_score,map,time,mode,player_1,kills_1,deaths_1,kd_1,hill_time_1,player_2,kills_2,deaths_2,kd_2,hill_time_2,player_3,kills_3,deaths_3,kd_3,hill_time_3,player_4,kills_4,deaths_4,kd_4,hill_time_4,player_5,kills_5,deaths_5,kd_5,hill_time_5,player_6,kills_6,deaths_6,kd_6,hill_time_6,player_7,kills_7,deaths_7,kd_7,hill_time_7,player_8,kills_8,deaths_8,kd_8,hill_time_8,first_kill_1,first_death_1,plant_1,defuse_1,first_kill_2,first_death_2,plant_2,defuse_2,first_kill_3,first_death_3,plant_3,defuse_3,first_kill_4,first_death_4,plant_4,defuse_4,first_kill_5,first_death_5,plant_5,defuse_5,first_kill_6,first_death_6,plant_6,defuse_6,first_kill_7,first_death_7,plant_7,defuse_7,first_kill_8,first_death_8,plant_8,defuse_8,captures_1,captures_2,captures_3,captures_4,captures_5,captures_6,captures_7,captures_8
New York Subliners,Florida Mutineers,143,250, Hydro,9:44, Hardpoint,KiSMET,23,17,1.35,85,Priestahh,19,15,1.27,53,Skyz,18,12,1.50,86,HyDra,20,16,1.25,40,Vikul,13,20,0.65,44,Havok,14,22,0.64,23,MajorManiak,15,16,0.94,19,Brack,18,22,0.82,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Subliners,Florida Mutineers,6,3, El Asilo,8:25, Search and Destroy,KiSMET,4,6,0.67,,Priestahh,3,8,0.38,,Skyz,7,8,0.88,,HyDra,5,8,0.63,,Vikul,15,3,5.00,,Havok,2,8,0.25,,MajorManiak,8,4,2.00,,Brack,5,4,1.25,,1,2,1,1,0,1,0,0,2,1,0,0,2,0,0,0,1,1,2,0,0,3,1,0,2,0,0,0,1,1,1,0,,,,,,,,
New York Subliners,Florida Mutineers,0,3, Hotel,8:06, Control,KiSMET,19,7,2.71,,Priestahh,17,10,1.70,,Skyz,8,11,0.73,,HyDra,24,8,3.00,,Vikul,7,15,0.47,,Havok,11,18,0.61,,MajorManiak,9,16,0.56,,Brack,9,19,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,7,2,0,0,1,3
New York Subliners,Florida Mutineers,160,250, Hotel,8:46, Hardpoint,KiSMET,21,21,1.00,66,Priestahh,23,19,1.21,52,Skyz,13,11,1.18,115,HyDra,25,15,1.67,88,Vikul,21,22,0.95,38,Havok,15,25,0.60,30,MajorManiak,16,14,1.13,98,Brack,14,21,0.67,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Surge,OpTic Texas,167,250, Fortress,9:12, Hardpoint,Sib,27,19,1.42,20,Accuracy,19,19,1.00,95,Mack,22,24,0.92,45,Pred,22,16,1.38,106,Shotzzy,19,19,1.00,20,Dashy,19,24,0.79,86,Huke,20,25,0.80,20,iLLeY,20,22,0.91,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Surge,OpTic Texas,6,4, Embassy,8:24, Search and Destroy,Sib,4,8,0.50,,Accuracy,1,7,0.14,,Mack,6,7,0.86,,Pred,14,8,1.75,,Shotzzy,9,7,1.29,,Dashy,6,6,1.00,,Huke,8,6,1.33,,iLLeY,7,6,1.17,,1,0,0,1,1,1,0,0,0,4,2,0,3,0,0,0,1,1,0,0,0,0,0,0,3,3,2,0,1,1,0,1,,,,,,,,
Seattle Surge,OpTic Texas,3,1, El Asilo,12:20, Control,Sib,19,22,0.86,,Accuracy,25,19,1.32,,Mack,19,22,0.86,,Pred,13,20,0.65,,Shotzzy,23,23,1.00,,Dashy,17,20,0.85,,Huke,19,19,1.00,,iLLeY,24,14,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,7,5,2,2,4,3
Seattle Surge,OpTic Texas,146,250, Hotel,8:54, Hardpoint,Sib,32,12,2.67,59,Accuracy,14,18,0.78,138,Mack,20,23,0.87,53,Pred,28,15,1.87,52,Shotzzy,18,22,0.82,33,Dashy,16,26,0.62,78,Huke,18,25,0.72,9,iLLeY,16,21,0.76,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Surge,OpTic Texas,6,2, Fortress,8:27, Search and Destroy,Sib,2,8,0.25,,Accuracy,5,6,0.83,,Mack,6,7,0.86,,Pred,2,7,0.28,,Shotzzy,10,6,1.67,,Dashy,9,4,2.25,,Huke,7,2,3.50,,iLLeY,2,3,0.67,,0,1,0,0,1,2,0,0,0,1,1,2,0,3,0,0,5,0,0,1,2,1,0,0,0,0,0,0,0,0,3,0,,,,,,,,
Toronto Ultra,Los Angeles Thieves,241,250, Mercado,11:19, Hardpoint,Scrappy,26,27,0.96,55,Insight,19,17,1.12,125,CleanX,22,25,0.88,44,Standy,26,22,1.18,78,Octane,27,21,1.29,21,Drazah,20,20,1.00,111,Capsidal,28,25,1.12,33,Envoy,16,27,0.59,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Ultra,Los Angeles Thieves,1,6, Mercado,6:39, Search and Destroy,Scrappy,11,1,11.00,,Insight,6,3,2.00,,CleanX,5,6,0.83,,Standy,2,5,0.40,,Octane,3,6,0.50,,Drazah,6,6,1.00,,Capsidal,3,6,0.50,,Envoy,3,6,0.50,,1,0,1,1,0,0,0,0,3,1,0,0,0,2,0,0,2,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,,,,,,,,
Toronto Ultra,Los Angeles Thieves,0,3, Hotel,10:38, Control,Scrappy,16,17,0.94,,Insight,14,12,1.17,,CleanX,16,20,0.80,,Standy,21,20,1.05,,Octane,16,16,1.00,,Drazah,15,15,1.00,,Capsidal,17,18,0.94,,Envoy,21,18,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,4,7,6,1,4
Las Vegas Legion,Boston Breach,250,218, Embassy,10:52, Hardpoint,Temp,20,23,0.87,46,Clayster,22,24,0.92,82,TJHaly,18,25,0.72,71,Prolute,22,23,0.96,56,Vivid,26,27,0.96,59,Methodz,21,15,1.40,55,Owakening,26,14,1.86,92,Nero,22,26,0.85,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas Legion,Boston Breach,1,6, Mercado,6:38, Search and Destroy,Temp,4,3,1.33,,Clayster,6,5,1.20,,TJHaly,8,5,1.60,,Prolute,7,3,2.33,,Vivid,3,6,0.50,,Methodz,6,6,1.00,,Owakening,2,7,0.28,,Nero,5,6,0.83,,1,0,1,0,1,1,0,0,2,0,1,1,2,0,2,0,0,1,0,0,0,1,1,0,0,1,0,0,1,3,0,0,,,,,,,,
Las Vegas Legion,Boston Breach,3,1, El Asilo,10:04, Control,Temp,14,13,1.08,,Clayster,13,21,0.62,,TJHaly,13,18,0.72,,Prolute,17,19,0.89,,Vivid,18,15,1.20,,Methodz,19,12,1.58,,Owakening,13,13,1.00,,Nero,21,17,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,3,9,3,6
Las Vegas Legion,Boston Breach,250,232, Hydro,11:23, Hardpoint,Temp,29,18,1.61,35,Clayster,30,25,1.20,59,TJHaly,21,26,0.81,48,Prolute,18,25,0.72,124,Vivid,23,28,0.82,60,Methodz,24,25,0.96,69,Owakening,22,23,0.96,30,Nero,25,22,1.13,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London Royal Ravens,Los Angeles Thieves,250,242, Fortress,11:40, Hardpoint,PaulEhx,23,24,0.96,146,Nastie,25,25,1.00,34,Asim,26,30,0.87,31,Skrapz,26,28,0.93,35,Octane,25,27,0.93,72,Drazah,26,23,1.12,61,Capsidal,24,27,0.89,31,Envoy,32,23,1.39,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London Royal Ravens,Los Angeles Thieves,6,2, Hotel,8:09, Search and Destroy,PaulEhx,3,8,0.38,,Nastie,2,7,0.28,,Asim,9,6,1.50,,Skrapz,4,7,0.56,,Octane,7,3,2.33,,Drazah,6,4,1.50,,Capsidal,10,6,1.67,,Envoy,5,5,1.00,,0,2,0,0,0,1,0,1,3,1,0,0,0,1,0,0,2,0,1,0,0,1,0,0,2,0,0,0,1,2,2,0,,,,,,,,
