gameMap,gameMode,id,programId,firstName,lastName,alias,headshot,socialNetworkHandles,averageSpeed,highestStreak,untradedKills,untradedDeaths,tradedKills,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,hillTime,contestedHillTime,esportsTournamentId,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,highestMultikill,totalAces,totalInVictimFovKills,totalDefuserKills,totalFirstBloodKills,totalLongshotKills,totalPlanterKills,totalPointblankKills,totalRevengeKills,totalRotationKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,calculatedHillTime,objective1Time,objective2Time,objective3Time,objective4Time,objective5Time,team_type,oppo_abbrev,abbrev,team_id,bombsPlanted,bombsDefused,sneakDefuses,totalHeadshots,totalTiersCaptured,matchGame.id,matchGame.matchId,matchGame.number,matchGame.createdAt,matchGame.updatedAt,matchGame.gameMap.Version,matchGame.gameMap.locale,matchGame.gameMap.uid,matchGame.gameMap.InProgress,matchGame.gameMap.abbreviatedName,matchGame.gameMap.createdAt,matchGame.gameMap.createdBy,matchGame.gameMap.description,matchGame.gameMap.desktopImage.src,matchGame.gameMap.displayName,matchGame.gameMap.mapId,matchGame.gameMap.mobileImage.src,matchGame.gameMap.shareStatsImage.src,matchGame.gameMap.tags,matchGame.gameMap.title,matchGame.gameMap.updatedAt,matchGame.gameMap.updatedBy,matchGame.gameMap.publishDetails.environment,matchGame.gameMap.publishDetails.locale,matchGame.gameMap.publishDetails.time,matchGame.gameMap.publishDetails.user,matchGameResult.hostGameScore,matchGameResult.guestGameScore,matchGameResult.winnerTeamId,matchGameResult.loserTeamId,homeTeamGamesWon,awayTeamGamesWon,winnerTeamId,loserTeamId,matchDate
Breenbergh Hotel,CDL Hardpoint,54,2,Anthony,Zinni,Methodz,https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/54.png,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/Methodz'}, {'socialNetworkType': 'TWITCH', 'handle': 'https://www.twitch.tv/methodz'}]",183.18057250976562,4.0,12.0,18.0,5.0,7.0,0.0,0.0,2882.0,382.0,13.0,11.0,95.0,0.0,72.0,2.0,"1.0,2,8712,19672,0",17.0,25.0,11.0,3695.0,332.0,92.0,5.0,2396.0,35.0,405680.0,51027.30078125,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,17.0,0.0,0.68,00:00,00:00,00:00,00:00,00:00,00:00,host,TX,BOS,138,,,,,,19672,8712,0,1665802416,1673819491,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,180,250,6,138,2,3,6,138,2023-04-02T23:54:45.240Z
Breenbergh Hotel,CDL Hardpoint,42,2,Anthony,Cuevas-Castro,Shotzzy,https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/42.png,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/Shotzzy'}]",200.24176025390625,4.0,15.0,17.0,11.0,7.0,0.0,0.0,2820.0,290.0,15.0,15.0,94.0,41.0,69.0,7.0,"1.0,2,8712,19672,0",26.0,23.0,6.0,4190.0,399.0,110.0,12.0,2928.0,0.0,420336.0,56625.07421875,0.0,0.0,23.0,0.0,1.0,1.0,0.0,0.0,7.0,8.0,26.0,0.0,1.13,00:00,00:00,00:00,00:00,00:00,00:00,guest,BOS,TX,6,,,,,,19672,8712,0,1665802416,1673819491,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,180,250,6,138,2,3,6,138,2023-04-02T23:54:45.240Z
Breenbergh Hotel,CDL Hardpoint,223,2,Reece,Drost,Vivid,https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/223.png,[],222.93936157226562,2.0,11.0,20.0,8.0,8.0,0.0,0.0,3061.0,197.0,9.0,7.0,95.0,69.0,35.0,8.0,"1.0,2,8712,19672,0",18.0,28.0,8.0,3475.0,248.0,93.0,15.0,2206.0,3.0,390528.0,63039.38671875,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,19.0,0.0,0.64,00:00,00:00,00:00,00:00,00:00,00:00,host,TX,BOS,138,,,,,,19672,8712,0,1665802416,1673819491,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,180,250,6,138,2,3,6,138,2023-04-02T23:54:45.240Z
Breenbergh Hotel,CDL Hardpoint,47,2,Indervir ,Dhaliwal,iLLeY,https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/47.png,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/iLLeYYY'}]",152.64334106445312,4.0,21.0,7.0,2.0,4.0,0.0,0.0,1623.0,507.0,6.0,8.0,87.0,0.0,78.0,1.0,"1.0,2,8712,19672,0",23.0,11.0,7.0,3980.0,333.0,101.0,6.0,2703.0,30.0,467312.0,50531.24609375,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,22.0,0.0,2.09,00:00,00:00,00:00,00:00,00:00,00:00,guest,BOS,TX,6,,,,,,19672,8712,0,1665802416,1673819491,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,180,250,6,138,2,3,6,138,2023-04-02T23:54:45.240Z
Breenbergh Hotel,CDL Hardpoint,227,2,Joseph,Conley,Owakening,https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/227.png,[],191.55616760253906,7.0,20.0,12.0,1.0,6.0,0.0,0.0,2303.0,503.0,8.0,4.0,95.0,0.0,57.0,0.0,"1.0,2,8712,19672,0",21.0,18.0,7.0,3270.0,289.0,92.0,17.0,2491.0,0.0,444480.0,53608.02734375,0.0,0.0,16.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,21.0,0.0,1.17,00:00,00:00,00:00,00:00,00:00,00:00,host,TX,BOS,138,,,,,,19672,8712,0,1665802416,1673819491,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,180,250,6,138,2,3,6,138,2023-04-02T23:54:45.240Z
Breenbergh Hotel,CDL Hardpoint,51,2,Cuyler,Garland,Huke,https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/51.png,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/Huke'}, {'socialNetworkType': 'TWITCH', 'handle': 'https://www.twitch.tv/huke'}]",193.73092651367188,3.0,14.0,16.0,12.0,3.0,0.0,0.0,2310.0,410.0,12.0,8.0,94.0,87.0,91.0,3.0,"1.0,2,8712,19672,0",26.0,20.0,2.0,4525.0,370.0,105.0,10.0,2670.0,26.0,408336.0,53277.49609375,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,26.0,0.0,1.30,00:00,00:00,00:00,00:00,00:00,00:00,guest,BOS,TX,6,,,,,,19672,8712,0,1665802416,1673819491,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,180,250,6,138,2,3,6,138,2023-04-02T23:54:45.240Z
Breenbergh Hotel,CDL Hardpoint,430,2,Dylan,Koch,Nero,https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/430.png,[],247.63381958007812,4.0,11.0,20.0,5.0,7.0,0.0,0.0,2999.0,299.0,8.0,9.0,97.0,69.0,41.0,3.0,"1.0,2,8712,19672,0",16.0,27.0,5.0,2760.0,293.0,79.0,6.0,1964.0,71.0,399872.0,66485.4375,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,16.0,0.0,0.59,00:00,00:00,00:00,00:00,00:00,00:00,host,TX,BOS,138,,,,,,19672,8712,0,1665802416,1673819491,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,180,250,6,138,2,3,6,138,2023-04-02T23:54:45.240Z
Breenbergh Hotel,CDL Hardpoint,108,2,Seth,Abner,Scump,https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/108.png,"[{'socialNetworkType': 'YOUTUBE_CHANNEL', 'handle': 'https://www.youtube.com/user/Scumperjumper'}, {'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/scump'}, {'socialNetworkType': 'TWITCH', 'handle': 'https://www.twitch.tv/scump'}]",175.6002960205078,6.0,20.0,14.0,3.0,5.0,0.0,0.0,2376.0,434.0,7.0,3.0,94.0,0.0,71.0,0.0,"1.0,2,8712,19672,0",23.0,19.0,6.0,3725.0,338.0,111.0,8.0,2835.0,16.0,404304.0,48610.53515625,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,23.0,0.0,1.21,00:00,00:00,00:00,00:00,00:00,00:00,guest,BOS,TX,6,,,,,,19672,8712,0,1665802416,1673819491,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,180,250,6,138,2,3,6,138,2023-04-02T23:54:45.240Z
Embassy,CDL SnD,54,2,Anthony,Zinni,Methodz,https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/54.png,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/Methodz'}, {'socialNetworkType': 'TWITCH', 'handle': 'https://www.twitch.tv/methodz'}]",78.77490234375,1.0,2.0,5.0,1.0,0.0,0.0,0.0,701.0,191.0,6.0,8.0,60.0,15.0,,,"1.0,2,8712,19673,1",3.0,5.0,3.0,450.0,67.0,16.0,2.0,713.0,0.0,461376.0,32170.951171875,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.60,00:00,00:00,00:00,00:00,00:00,00:00,host,TX,BOS,138,0.0,0.0,0.0,,,19673,8712,1,1665802416,1673820563,5,en-us,blt6dc22929bb292794,False,Embassy,2022-11-09T00:53:34.076Z,blt85aae568f2119ad8,Embassy,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt112cc8d178d91930/636c14ebf17951383bcfbc88/cdl-map-256_embassy.webp?auto=webp,Embassy,Embassy,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt2ca44bf092b2fa44/636c1510c3b2be3d36ed1319/cdl-map-600_embassy.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blte13b93cbbc2abcdc/636c1e3f56a62e51968cb282/cdl-1920_0005_Embassy.jpg?auto=webp,[],Embassy,2022-11-09T21:42:55.887Z,blt42192c9dc0a8617f,blt32369acdba41f6a8,en-us,2022-12-05T10:03:55.939Z,blte5475d8d4c1a4efe,6,2,138,6,2,3,6,138,2023-04-02T23:54:45.240Z
Embassy,CDL SnD,42,2,Anthony,Cuevas-Castro,Shotzzy,https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/42.png,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/Shotzzy'}]",96.68022155761719,3.0,5.0,3.0,0.0,0.0,0.0,2.0,922.0,370.0,7.0,6.0,74.0,10.0,,,"1.0,2,8712,19673,1",5.0,5.0,1.0,775.0,142.0,31.0,1.0,835.0,0.0,528176.0,39135.48828125,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.00,00:00,00:00,00:00,00:00,00:00,00:00,guest,BOS,TX,6,2.0,0.0,0.0,,,19673,8712,1,1665802416,1673820563,5,en-us,blt6dc22929bb292794,False,Embassy,2022-11-09T00:53:34.076Z,blt85aae568f2119ad8,Embassy,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt112cc8d178d91930/636c14ebf17951383bcfbc88/cdl-map-256_embassy.webp?auto=webp,Embassy,Embassy,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt2ca44bf092b2fa44/636c1510c3b2be3d36ed1319/cdl-map-600_embassy.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blte13b93cbbc2abcdc/636c1e3f56a62e51968cb282/cdl-1920_0005_Embassy.jpg?auto=webp,[],Embassy,2022-11-09T21:42:55.887Z,blt42192c9dc0a8617f,blt32369acdba41f6a8,en-us,2022-12-05T10:03:55.939Z,blte5475d8d4c1a4efe,6,2,138,6,2,3,6,138,2023-04-02T23:54:45.240Z
