team1,team2,team1_score,team2_score,map,time,mode,player_1,kills_1,deaths_1,kd_1,hill_time_1,player_2,kills_2,deaths_2,kd_2,hill_time_2,player_3,kills_3,deaths_3,kd_3,hill_time_3,player_4,kills_4,deaths_4,kd_4,hill_time_4,player_5,kills_5,deaths_5,kd_5,hill_time_5,player_6,kills_6,deaths_6,kd_6,hill_time_6,player_7,kills_7,deaths_7,kd_7,hill_time_7,player_8,kills_8,deaths_8,kd_8,hill_time_8,first_kill_1,first_death_1,plant_1,defuse_1,first_kill_2,first_death_2,plant_2,defuse_2,first_kill_3,first_death_3,plant_3,defuse_3,first_kill_4,first_death_4,plant_4,defuse_4,first_kill_5,first_death_5,plant_5,defuse_5,first_kill_6,first_death_6,plant_6,defuse_6,first_kill_7,first_death_7,plant_7,defuse_7,first_kill_8,first_death_8,plant_8,defuse_8,captures_1,captures_2,captures_3,captures_4,captures_5,captures_6,captures_7,captures_8
Seattle Surge,London Royal Ravens,68,250, Hotel,6:42, Hardpoint,Sib,14,10,1.40,37,Accuracy,13,8,1.63,180,Mack,18,15,1.20,57,Pred,28,10,2.80,23,Zer0,8,17,0.47,25,Nastie,9,20,0.45,7,Asim,14,17,0.82,16,PaulEhx,12,19,0.63,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Surge,London Royal Ravens,6,4, Mercado,12:11, Search and Destroy,Sib,6,9,0.67,,Accuracy,7,8,0.88,,Mack,4,7,0.56,,Pred,6,8,0.75,,Zer0,11,3,3.67,,Nastie,6,7,0.86,,Asim,7,8,0.88,,PaulEhx,8,5,1.60,,0,2,0,0,2,1,1,0,0,1,2,0,2,2,0,0,2,0,0,1,1,1,0,1,3,3,2,0,0,0,0,1,,,,,,,,
Seattle Surge,London Royal Ravens,2,3, Hotel,14:53, Control,Sib,31,28,1.11,,Accuracy,22,28,0.79,,Mack,20,28,0.71,,Pred,27,26,1.04,,Zer0,25,17,1.47,,Nastie,20,27,0.74,,Asim,33,33,1.00,,PaulEhx,32,23,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,10,1,2,7,3,7
Seattle Surge,London Royal Ravens,235,250, Mercado,10:35, Hardpoint,Sib,26,23,1.12,24,Accuracy,18,20,0.90,59,Mack,19,24,0.79,51,Pred,23,20,1.14,139,Zer0,19,20,0.95,101,Nastie,22,18,1.22,85,Asim,26,25,1.04,31,PaulEhx,20,23,0.87,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Mutineers,Minnesota RØKKR,246,250, Hotel,10:28, Hardpoint,Vikul,26,23,1.12,104,Havok,18,22,0.82,33,MajorManiak,13,21,0.62,111,Brack,23,20,1.14,66,Attach,25,19,1.32,56,Afro,26,23,1.12,55,Bance,12,18,0.67,142,Cammy,23,20,1.14,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Mutineers,Minnesota RØKKR,6,3, Hotel,11:12, Search and Destroy,Vikul,10,7,1.43,,Havok,5,6,0.83,,MajorManiak,4,8,0.50,,Brack,2,8,0.25,,Attach,10,4,2.50,,Afro,7,4,1.75,,Bance,5,7,0.71,,Cammy,7,6,1.17,,3,0,3,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,2,0,2,2,1,0,0,0,2,2,0,,,,,,,,
Florida Mutineers,Minnesota RØKKR,3,2, El Asilo,13:17, Control,Vikul,22,26,0.85,,Havok,15,23,0.65,,MajorManiak,17,28,0.61,,Brack,17,16,1.06,,Attach,22,15,1.47,,Afro,26,19,1.37,,Bance,20,20,1.00,,Cammy,25,17,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,2,0,4,8,5
Florida Mutineers,Minnesota RØKKR,250,148, Fortress,10:02, Hardpoint,Vikul,22,26,0.85,77,Havok,13,28,0.46,39,MajorManiak,18,23,0.78,29,Brack,28,25,1.12,32,Attach,22,19,1.15,70,Afro,29,18,1.61,33,Bance,23,24,0.96,39,Cammy,28,20,1.40,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Subliners,Los Angeles Guerrillas,133,250, Mercado,9:27, Hardpoint,Kismet,21,20,1.05,113,Priestahh,16,13,1.23,48,Skyz,20,12,1.67,43,HyDra,23,18,1.28,61,Spart,14,18,0.78,36,Neptune,21,25,0.84,35,Huke,14,20,0.70,64,Arcitys,14,17,0.82,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Subliners,Los Angeles Guerrillas,5,6, Embassy,12:30, Search and Destroy,Kismet,12,5,2.40,,Priestahh,8,6,1.33,,Skyz,7,5,1.40,,HyDra,7,7,1.00,,Spart,5,8,0.63,,Neptune,7,9,0.78,,Huke,7,8,0.88,,Arcitys,4,9,0.44,,3,0,0,0,1,1,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,2,0,0,0,3,1,0,2,4,0,1,,,,,,,,
