index,player,kills,deaths,kd,hill_time,team_name,team_score,map_outcome,matchID,map_winner,mode,gametime,match_winner,first_kill,first_death,plant,defuse,captures
0,KiSMET,23,17,1.35,85,New York Subliners,250,winner,NYSFMW2M2, Hydro,Hardpoint,9:44,New York Subliners,,,,,
1,Priestahh,19,15,1.27,53,New York Subliners,250,winner,NYSFMW2M2, Hydro,Hardpoint,9:44,New York Subliners,,,,,
2,Skyz,18,12,1.50,86,New York Subliners,250,winner,NYSFMW2M2, Hydro,Hardpoint,9:44,New York Subliners,,,,,
3,HyDra,20,16,1.25,40,New York Subliners,250,winner,NYSFMW2M2, Hydro,Hardpoint,9:44,New York Subliners,,,,,
4,Vikul,13,20,0.65,44,Florida Mutineers,143,loser,NYSFMW2M2, Hydro,Hardpoint,9:44,New York Subliners,,,,,
5,Havok,14,22,0.64,23,Florida Mutineers,143,loser,NYSFMW2M2, Hydro,Hardpoint,9:44,New York Subliners,,,,,
6,MajorManiak,15,16,0.94,19,Florida Mutineers,143,loser,NYSFMW2M2, Hydro,Hardpoint,9:44,New York Subliners,,,,,
7,Brack,18,22,0.82,62,Florida Mutineers,143,loser,NYSFMW2M2, Hydro,Hardpoint,9:44,New York Subliners,,,,,
0,KiSMET,4,6,0.67,,New York Subliners,3,loser,NYSFMW2M2, El Asilo,SearchandDestroy,8:25,New York Subliners,1,2,1,1,
1,Priestahh,3,8,0.38,,New York Subliners,3,loser,NYSFMW2M2, El Asilo,SearchandDestroy,8:25,New York Subliners,0,1,0,0,
2,Skyz,7,8,0.88,,New York Subliners,3,loser,NYSFMW2M2, El Asilo,SearchandDestroy,8:25,New York Subliners,2,1,0,0,
3,HyDra,5,8,0.63,,New York Subliners,3,loser,NYSFMW2M2, El Asilo,SearchandDestroy,8:25,New York Subliners,2,0,0,0,
4,Vikul,15,3,5.00,,Florida Mutineers,6,winner,NYSFMW2M2, El Asilo,SearchandDestroy,8:25,New York Subliners,1,1,2,0,
5,Havok,2,8,0.25,,Florida Mutineers,6,winner,NYSFMW2M2, El Asilo,SearchandDestroy,8:25,New York Subliners,0,3,1,0,
6,MajorManiak,8,4,2.00,,Florida Mutineers,6,winner,NYSFMW2M2, El Asilo,SearchandDestroy,8:25,New York Subliners,2,0,0,0,
7,Brack,5,4,1.25,,Florida Mutineers,6,winner,NYSFMW2M2, El Asilo,SearchandDestroy,8:25,New York Subliners,1,1,1,0,
0,KiSMET,19,7,2.71,,New York Subliners,3,winner,NYSFMW2M2, Hotel,Control,8:06,New York Subliners,,,,,3
1,Priestahh,17,10,1.70,,New York Subliners,3,winner,NYSFMW2M2, Hotel,Control,8:06,New York Subliners,,,,,6
2,Skyz,8,11,0.73,,New York Subliners,3,winner,NYSFMW2M2, Hotel,Control,8:06,New York Subliners,,,,,7
3,HyDra,24,8,3.00,,New York Subliners,3,winner,NYSFMW2M2, Hotel,Control,8:06,New York Subliners,,,,,2
4,Vikul,7,15,0.47,,Florida Mutineers,0,loser,NYSFMW2M2, Hotel,Control,8:06,New York Subliners,,,,,0
5,Havok,11,18,0.61,,Florida Mutineers,0,loser,NYSFMW2M2, Hotel,Control,8:06,New York Subliners,,,,,0
6,MajorManiak,9,16,0.56,,Florida Mutineers,0,loser,NYSFMW2M2, Hotel,Control,8:06,New York Subliners,,,,,1
7,Brack,9,19,0.47,,Florida Mutineers,0,loser,NYSFMW2M2, Hotel,Control,8:06,New York Subliners,,,,,3
0,KiSMET,21,21,1.00,66,New York Subliners,250,winner,NYSFMW2M2, Hotel,Hardpoint,8:46,New York Subliners,,,,,
1,Priestahh,23,19,1.21,52,New York Subliners,250,winner,NYSFMW2M2, Hotel,Hardpoint,8:46,New York Subliners,,,,,
2,Skyz,13,11,1.18,115,New York Subliners,250,winner,NYSFMW2M2, Hotel,Hardpoint,8:46,New York Subliners,,,,,
3,HyDra,25,15,1.67,88,New York Subliners,250,winner,NYSFMW2M2, Hotel,Hardpoint,8:46,New York Subliners,,,,,
4,Vikul,21,22,0.95,38,Florida Mutineers,160,loser,NYSFMW2M2, Hotel,Hardpoint,8:46,New York Subliners,,,,,
5,Havok,15,25,0.60,30,Florida Mutineers,160,loser,NYSFMW2M2, Hotel,Hardpoint,8:46,New York Subliners,,,,,
6,MajorManiak,16,14,1.13,98,Florida Mutineers,160,loser,NYSFMW2M2, Hotel,Hardpoint,8:46,New York Subliners,,,,,
7,Brack,14,21,0.67,25,Florida Mutineers,160,loser,NYSFMW2M2, Hotel,Hardpoint,8:46,New York Subliners,,,,,
0,Sib,27,19,1.42,20,Seattle Surge,250,winner,SSOTW2M2, Fortress,Hardpoint,9:12,Seattle Surge,,,,,
1,Accuracy,19,19,1.00,95,Seattle Surge,250,winner,SSOTW2M2, Fortress,Hardpoint,9:12,Seattle Surge,,,,,
2,Mack,22,24,0.92,45,Seattle Surge,250,winner,SSOTW2M2, Fortress,Hardpoint,9:12,Seattle Surge,,,,,
3,Pred,22,16,1.38,106,Seattle Surge,250,winner,SSOTW2M2, Fortress,Hardpoint,9:12,Seattle Surge,,,,,
4,Shotzzy,19,19,1.00,20,OpTic Texas,167,loser,SSOTW2M2, Fortress,Hardpoint,9:12,Seattle Surge,,,,,
5,Dashy,19,24,0.79,86,OpTic Texas,167,loser,SSOTW2M2, Fortress,Hardpoint,9:12,Seattle Surge,,,,,
6,Huke,20,25,0.80,20,OpTic Texas,167,loser,SSOTW2M2, Fortress,Hardpoint,9:12,Seattle Surge,,,,,
7,iLLeY,20,22,0.91,52,OpTic Texas,167,loser,SSOTW2M2, Fortress,Hardpoint,9:12,Seattle Surge,,,,,
0,Sib,4,8,0.50,,Seattle Surge,4,loser,SSOTW2M2, Embassy,SearchandDestroy,8:24,Seattle Surge,1,0,0,1,
1,Accuracy,1,7,0.14,,Seattle Surge,4,loser,SSOTW2M2, Embassy,SearchandDestroy,8:24,Seattle Surge,1,1,0,0,
2,Mack,6,7,0.86,,Seattle Surge,4,loser,SSOTW2M2, Embassy,SearchandDestroy,8:24,Seattle Surge,0,4,2,0,
3,Pred,14,8,1.75,,Seattle Surge,4,loser,SSOTW2M2, Embassy,SearchandDestroy,8:24,Seattle Surge,3,0,0,0,
4,Shotzzy,9,7,1.29,,OpTic Texas,6,winner,SSOTW2M2, Embassy,SearchandDestroy,8:24,Seattle Surge,1,1,0,0,
5,Dashy,6,6,1.00,,OpTic Texas,6,winner,SSOTW2M2, Embassy,SearchandDestroy,8:24,Seattle Surge,0,0,0,0,
6,Huke,8,6,1.33,,OpTic Texas,6,winner,SSOTW2M2, Embassy,SearchandDestroy,8:24,Seattle Surge,3,3,2,0,
7,iLLeY,7,6,1.17,,OpTic Texas,6,winner,SSOTW2M2, Embassy,SearchandDestroy,8:24,Seattle Surge,1,1,0,1,
0,Sib,19,22,0.86,,Seattle Surge,1,loser,SSOTW2M2, El Asilo,Control,12:20,Seattle Surge,,,,,3
1,Accuracy,25,19,1.32,,Seattle Surge,1,loser,SSOTW2M2, El Asilo,Control,12:20,Seattle Surge,,,,,3
2,Mack,19,22,0.86,,Seattle Surge,1,loser,SSOTW2M2, El Asilo,Control,12:20,Seattle Surge,,,,,7
3,Pred,13,20,0.65,,Seattle Surge,1,loser,SSOTW2M2, El Asilo,Control,12:20,Seattle Surge,,,,,5
4,Shotzzy,23,23,1.00,,OpTic Texas,3,winner,SSOTW2M2, El Asilo,Control,12:20,Seattle Surge,,,,,2
5,Dashy,17,20,0.85,,OpTic Texas,3,winner,SSOTW2M2, El Asilo,Control,12:20,Seattle Surge,,,,,2
6,Huke,19,19,1.00,,OpTic Texas,3,winner,SSOTW2M2, El Asilo,Control,12:20,Seattle Surge,,,,,4
7,iLLeY,24,14,1.71,,OpTic Texas,3,winner,SSOTW2M2, El Asilo,Control,12:20,Seattle Surge,,,,,3
0,Sib,32,12,2.67,59,Seattle Surge,250,winner,SSOTW2M2, Hotel,Hardpoint,8:54,Seattle Surge,,,,,
1,Accuracy,14,18,0.78,138,Seattle Surge,250,winner,SSOTW2M2, Hotel,Hardpoint,8:54,Seattle Surge,,,,,
2,Mack,20,23,0.87,53,Seattle Surge,250,winner,SSOTW2M2, Hotel,Hardpoint,8:54,Seattle Surge,,,,,
3,Pred,28,15,1.87,52,Seattle Surge,250,winner,SSOTW2M2, Hotel,Hardpoint,8:54,Seattle Surge,,,,,
4,Shotzzy,18,22,0.82,33,OpTic Texas,146,loser,SSOTW2M2, Hotel,Hardpoint,8:54,Seattle Surge,,,,,
5,Dashy,16,26,0.62,78,OpTic Texas,146,loser,SSOTW2M2, Hotel,Hardpoint,8:54,Seattle Surge,,,,,
6,Huke,18,25,0.72,9,OpTic Texas,146,loser,SSOTW2M2, Hotel,Hardpoint,8:54,Seattle Surge,,,,,
7,iLLeY,16,21,0.76,50,OpTic Texas,146,loser,SSOTW2M2, Hotel,Hardpoint,8:54,Seattle Surge,,,,,
0,Sib,2,8,0.25,,Seattle Surge,2,loser,SSOTW2M2, Fortress,SearchandDestroy,8:27,Seattle Surge,0,1,0,0,
1,Accuracy,5,6,0.83,,Seattle Surge,2,loser,SSOTW2M2, Fortress,SearchandDestroy,8:27,Seattle Surge,1,2,0,0,
2,Mack,6,7,0.86,,Seattle Surge,2,loser,SSOTW2M2, Fortress,SearchandDestroy,8:27,Seattle Surge,0,1,1,2,
3,Pred,2,7,0.28,,Seattle Surge,2,loser,SSOTW2M2, Fortress,SearchandDestroy,8:27,Seattle Surge,0,3,0,0,
4,Shotzzy,10,6,1.67,,OpTic Texas,6,winner,SSOTW2M2, Fortress,SearchandDestroy,8:27,Seattle Surge,5,0,0,1,
5,Dashy,9,4,2.25,,OpTic Texas,6,winner,SSOTW2M2, Fortress,SearchandDestroy,8:27,Seattle Surge,2,1,0,0,
6,Huke,7,2,3.50,,OpTic Texas,6,winner,SSOTW2M2, Fortress,SearchandDestroy,8:27,Seattle Surge,0,0,0,0,
7,iLLeY,2,3,0.67,,OpTic Texas,6,winner,SSOTW2M2, Fortress,SearchandDestroy,8:27,Seattle Surge,0,0,3,0,
0,Scrappy,26,27,0.96,55,Toronto Ultra,250,winner,TULATW2M2, Mercado,Hardpoint,11:19,Toronto Ultra,,,,,
1,Insight,19,17,1.12,125,Toronto Ultra,250,winner,TULATW2M2, Mercado,Hardpoint,11:19,Toronto Ultra,,,,,
2,CleanX,22,25,0.88,44,Toronto Ultra,250,winner,TULATW2M2, Mercado,Hardpoint,11:19,Toronto Ultra,,,,,
3,Standy,26,22,1.18,78,Toronto Ultra,250,winner,TULATW2M2, Mercado,Hardpoint,11:19,Toronto Ultra,,,,,
4,Octane,27,21,1.29,21,Los Angeles Thieves,241,loser,TULATW2M2, Mercado,Hardpoint,11:19,Toronto Ultra,,,,,
5,Drazah,20,20,1.00,111,Los Angeles Thieves,241,loser,TULATW2M2, Mercado,Hardpoint,11:19,Toronto Ultra,,,,,
6,Capsidal,28,25,1.12,33,Los Angeles Thieves,241,loser,TULATW2M2, Mercado,Hardpoint,11:19,Toronto Ultra,,,,,
7,Envoy,16,27,0.59,91,Los Angeles Thieves,241,loser,TULATW2M2, Mercado,Hardpoint,11:19,Toronto Ultra,,,,,
0,Scrappy,11,1,11.00,,Toronto Ultra,6,winner,TULATW2M2, Mercado,SearchandDestroy,6:39,Toronto Ultra,1,0,1,1,
1,Insight,6,3,2.00,,Toronto Ultra,6,winner,TULATW2M2, Mercado,SearchandDestroy,6:39,Toronto Ultra,0,0,0,0,
2,CleanX,5,6,0.83,,Toronto Ultra,6,winner,TULATW2M2, Mercado,SearchandDestroy,6:39,Toronto Ultra,3,1,0,0,
3,Standy,2,5,0.40,,Toronto Ultra,6,winner,TULATW2M2, Mercado,SearchandDestroy,6:39,Toronto Ultra,0,2,0,0,
4,Octane,3,6,0.50,,Los Angeles Thieves,1,loser,TULATW2M2, Mercado,SearchandDestroy,6:39,Toronto Ultra,2,1,0,0,
5,Drazah,6,6,1.00,,Los Angeles Thieves,1,loser,TULATW2M2, Mercado,SearchandDestroy,6:39,Toronto Ultra,1,1,1,0,
6,Capsidal,3,6,0.50,,Los Angeles Thieves,1,loser,TULATW2M2, Mercado,SearchandDestroy,6:39,Toronto Ultra,0,1,0,0,
7,Envoy,3,6,0.50,,Los Angeles Thieves,1,loser,TULATW2M2, Mercado,SearchandDestroy,6:39,Toronto Ultra,0,1,0,0,
0,Scrappy,16,17,0.94,,Toronto Ultra,3,winner,TULATW2M2, Hotel,Control,10:38,Toronto Ultra,,,,,3
1,Insight,14,12,1.17,,Toronto Ultra,3,winner,TULATW2M2, Hotel,Control,10:38,Toronto Ultra,,,,,2
2,CleanX,16,20,0.80,,Toronto Ultra,3,winner,TULATW2M2, Hotel,Control,10:38,Toronto Ultra,,,,,1
3,Standy,21,20,1.05,,Toronto Ultra,3,winner,TULATW2M2, Hotel,Control,10:38,Toronto Ultra,,,,,4
4,Octane,16,16,1.00,,Los Angeles Thieves,0,loser,TULATW2M2, Hotel,Control,10:38,Toronto Ultra,,,,,7
5,Drazah,15,15,1.00,,Los Angeles Thieves,0,loser,TULATW2M2, Hotel,Control,10:38,Toronto Ultra,,,,,6
6,Capsidal,17,18,0.94,,Los Angeles Thieves,0,loser,TULATW2M2, Hotel,Control,10:38,Toronto Ultra,,,,,1
7,Envoy,21,18,1.17,,Los Angeles Thieves,0,loser,TULATW2M2, Hotel,Control,10:38,Toronto Ultra,,,,,4
0,Temp,20,23,0.87,46,Las Vegas Legion,218,loser,LVLBBW2M2, Embassy,Hardpoint,10:52,Las Vegas Legion,,,,,
1,Clayster,22,24,0.92,82,Las Vegas Legion,218,loser,LVLBBW2M2, Embassy,Hardpoint,10:52,Las Vegas Legion,,,,,
2,TJHaly,18,25,0.72,71,Las Vegas Legion,218,loser,LVLBBW2M2, Embassy,Hardpoint,10:52,Las Vegas Legion,,,,,
3,Prolute,22,23,0.96,56,Las Vegas Legion,218,loser,LVLBBW2M2, Embassy,Hardpoint,10:52,Las Vegas Legion,,,,,
4,Vivid,26,27,0.96,59,Boston Breach,250,winner,LVLBBW2M2, Embassy,Hardpoint,10:52,Las Vegas Legion,,,,,
5,Methodz,21,15,1.40,55,Boston Breach,250,winner,LVLBBW2M2, Embassy,Hardpoint,10:52,Las Vegas Legion,,,,,
6,Owakening,26,14,1.86,92,Boston Breach,250,winner,LVLBBW2M2, Embassy,Hardpoint,10:52,Las Vegas Legion,,,,,
7,Nero,22,26,0.85,60,Boston Breach,250,winner,LVLBBW2M2, Embassy,Hardpoint,10:52,Las Vegas Legion,,,,,
0,Temp,4,3,1.33,,Las Vegas Legion,6,winner,LVLBBW2M2, Mercado,SearchandDestroy,6:38,Las Vegas Legion,1,0,1,0,
1,Clayster,6,5,1.20,,Las Vegas Legion,6,winner,LVLBBW2M2, Mercado,SearchandDestroy,6:38,Las Vegas Legion,1,1,0,0,
2,TJHaly,8,5,1.60,,Las Vegas Legion,6,winner,LVLBBW2M2, Mercado,SearchandDestroy,6:38,Las Vegas Legion,2,0,1,1,
3,Prolute,7,3,2.33,,Las Vegas Legion,6,winner,LVLBBW2M2, Mercado,SearchandDestroy,6:38,Las Vegas Legion,2,0,2,0,
4,Vivid,3,6,0.50,,Boston Breach,1,loser,LVLBBW2M2, Mercado,SearchandDestroy,6:38,Las Vegas Legion,0,1,0,0,
5,Methodz,6,6,1.00,,Boston Breach,1,loser,LVLBBW2M2, Mercado,SearchandDestroy,6:38,Las Vegas Legion,0,1,1,0,
6,Owakening,2,7,0.28,,Boston Breach,1,loser,LVLBBW2M2, Mercado,SearchandDestroy,6:38,Las Vegas Legion,0,1,0,0,
7,Nero,5,6,0.83,,Boston Breach,1,loser,LVLBBW2M2, Mercado,SearchandDestroy,6:38,Las Vegas Legion,1,3,0,0,
0,Temp,14,13,1.08,,Las Vegas Legion,1,loser,LVLBBW2M2, El Asilo,Control,10:04,Las Vegas Legion,,,,,1
1,Clayster,13,21,0.62,,Las Vegas Legion,1,loser,LVLBBW2M2, El Asilo,Control,10:04,Las Vegas Legion,,,,,1
2,TJHaly,13,18,0.72,,Las Vegas Legion,1,loser,LVLBBW2M2, El Asilo,Control,10:04,Las Vegas Legion,,,,,3
3,Prolute,17,19,0.89,,Las Vegas Legion,1,loser,LVLBBW2M2, El Asilo,Control,10:04,Las Vegas Legion,,,,,2
4,Vivid,18,15,1.20,,Boston Breach,3,winner,LVLBBW2M2, El Asilo,Control,10:04,Las Vegas Legion,,,,,3
5,Methodz,19,12,1.58,,Boston Breach,3,winner,LVLBBW2M2, El Asilo,Control,10:04,Las Vegas Legion,,,,,9
6,Owakening,13,13,1.00,,Boston Breach,3,winner,LVLBBW2M2, El Asilo,Control,10:04,Las Vegas Legion,,,,,3
7,Nero,21,17,1.24,,Boston Breach,3,winner,LVLBBW2M2, El Asilo,Control,10:04,Las Vegas Legion,,,,,6
0,Temp,29,18,1.61,35,Las Vegas Legion,232,loser,LVLBBW2M2, Hydro,Hardpoint,11:23,Las Vegas Legion,,,,,
1,Clayster,30,25,1.20,59,Las Vegas Legion,232,loser,LVLBBW2M2, Hydro,Hardpoint,11:23,Las Vegas Legion,,,,,
2,TJHaly,21,26,0.81,48,Las Vegas Legion,232,loser,LVLBBW2M2, Hydro,Hardpoint,11:23,Las Vegas Legion,,,,,
3,Prolute,18,25,0.72,124,Las Vegas Legion,232,loser,LVLBBW2M2, Hydro,Hardpoint,11:23,Las Vegas Legion,,,,,
4,Vivid,23,28,0.82,60,Boston Breach,250,winner,LVLBBW2M2, Hydro,Hardpoint,11:23,Las Vegas Legion,,,,,
