player,overall_kd,hp_kills_per_10,hp_kd,hp_dmg_per_10,avg_hp_hill_time,hp_maps_played,snd_kill_per_round,snd_kd_rate,snd_first_blood_rate,snd_maps_played,control_kills_per_10,control_kd,control_dmg_per_10,control_maps_played,map_1_3_average_kills
Cellium,1.19,21.5,1.21,2635,43,22,0.67,1.16,7.40%,18,15.8,1.18,1986,13,47.2
HyDra,1.17,24.4,1.2,2772,46,26,0.7,0.97,13.60%,19,21.3,1.18,2509,15,54.5
Scrappy,1.16,23.5,1.08,2877,72.1,25,0.79,1.17,11.30%,17,20.6,1.32,2458,14,56.1
Gismo,1.14,25.3,1.26,2897,69.2,6,0.82,1.06,13.30%,5,18,0.97,2396,3,51.7
Afro,1.14,22.3,1.07,2598,55.4,22,0.85,1.23,17.50%,15,20.7,1.23,2336,13,54.1
Pred,1.13,24.3,1.17,2833,41.7,24,0.75,0.98,18.20%,19,20,1.13,2286,14,57.1
Insight,1.12,19,1.11,2350,76.8,25,0.75,1.16,9.30%,17,15.2,1.1,1898,14,44.5
Owakening,1.11,23.1,1.18,2777,67.1,15,0.83,1.27,9.20%,11,15.3,0.9,2045,8,48.6
Sib,1.11,24.8,1.2,3109,55.8,24,0.66,0.86,10.00%,19,20.4,1.07,2577,14,55.1
Scump,1.1,22.7,1.13,2585,77.4,14,0.65,0.95,5.60%,12,19.1,1.12,2234,8,53.4
super,1.1,22.6,1.15,2616,73.3,4,0.88,1.28,15.40%,3,14.6,0.93,1741,2,54.5
Temp,1.1,22.4,1.07,2916,36,25,0.77,1.23,11.10%,19,19.7,1.12,2389,13,50.9
Standy,1.09,21.3,1.07,2471,76.9,25,0.66,0.9,8.70%,17,19.3,1.21,2227,14,51.5
Skyz,1.09,19.9,1.13,2483,71.4,26,0.67,0.97,8.50%,19,16.3,1.06,2167,15,43.8
Priestahh,1.09,22.1,1.15,2615,49.8,26,0.65,0.94,9.70%,19,17.3,1.02,2294,15,46.2
Attach,1.08,21.5,1.13,2578,67.8,22,0.62,0.88,8.80%,15,16.1,1.07,2144,13,46.6
Methodz,1.07,20.2,1.01,2641,77,17,0.66,0.95,8.10%,13,18.5,1.29,2237,9,46.4
Capsidal,1.07,22.6,1,2808,41.3,2,0.87,1.08,13.30%,2,19.9,1.15,2239,2,56
Brack,1.05,20.6,1.04,2534,70.6,22,0.74,1.3,12.20%,16,15.2,1,2192,12,45.8
Diamondcon,1.05,22.8,1.04,2890,47.9,5,0.68,0.87,7.90%,5,20.3,1.16,2330,3,51
Skrapz,1.04,20.1,1.03,2486,68.6,6,0.57,0.74,6.50%,5,17.8,1.18,2212,4,52.5
Asim,1.04,24.2,1.07,2785,38.3,16,0.79,1.07,19.70%,14,18.7,0.98,2212,10,58.4
KiSMET,1.03,22.9,1.01,2735,82.3,26,0.74,1.06,17.00%,19,20.1,1.06,2311,15,52
aBeZy,1.03,20.8,0.96,2436,64.2,22,0.95,1.43,22.80%,18,19.1,1.02,2287,13,54.8
lucky,1.01,20.4,0.93,2466,47.7,4,0.65,0.77,11.50%,3,18,1.37,2203,2,61
Shotzzy,1.01,22.4,0.99,2703,44.5,18,0.7,0.97,20.00%,15,19.1,1.06,2247,10,53.4
Harry,1.01,25.5,1.03,3223,35.9,6,0.56,0.78,8.90%,5,19.9,1.09,2220,3,56
PaulEhx,1.01,20.6,1,2612,70.8,13,0.66,0.97,4.60%,11,17.7,1.03,2189,8,49
Drazah,1.01,22,0.99,2655,65.8,23,0.76,1.05,20.10%,15,18.8,1.03,2423,13,52.5
Simp,0.99,21,0.97,2618,70.2,22,0.74,1.11,17.30%,18,18.7,1,2373,13,51.5
Dashy,0.99,19,0.95,2574,67.3,16,0.69,1.09,9.30%,13,14.2,1.01,1950,9,43
Zer0,0.99,19.4,0.97,2370,58,13,0.57,0.85,8.90%,12,15.6,1.08,2008,8,44.6
iLLeY,0.99,20.5,0.99,2569,72.3,18,0.7,1.03,14.80%,15,15.9,0.97,2118,10,46.7
Arcitys,0.98,20.4,1.04,2605,44.8,17,0.76,1.01,13.70%,13,17.8,0.89,2339,10,47
Cammy,0.98,20.9,0.99,2698,55.1,22,0.52,0.72,7.30%,15,18.8,1.04,2388,13,48.8
Envoy,0.97,21.5,0.91,2662,52.4,23,0.7,1,10.10%,15,21.2,1.1,2559,13,53.8
SlasheR,0.97,19.8,0.94,2436,53.6,22,0.59,0.94,9.90%,18,17,1.04,2221,13,46
Bance,0.96,21.2,0.94,2552,55.3,22,0.72,1.05,17.50%,15,17.9,0.98,2181,13,49.6
